unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,descriptor_2,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,facility_type,status,due_date,resolution_description,resolution_action_updated_date,community_board,council_district,police_precinct,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,vehicle_type,taxi_company_borough,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,latitude,longitude,location
60035769,2024-01-15T12:00:54.000,2024-02-02T15:11:56.000,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Free Repair,Street,11428.0,94-35 216 STREET,216 STREET,94 ROAD,JAMAICA AVENUE,94 ROAD,JAMAICA AVENUE,ADDRESS,QUEENS VILLAGE,216 STREET,,Closed,,"NYC Parks inspected the requested repair site. This site meets the criteria for repair under the Trees & Sidewalks Program. The timeframe for repair work depends on available funding for the program, the severity of damage, and the other sidewalk requests in the surrounding district.",2024-02-02T15:12:01.000,13 QUEENS,23.0,Precinct 105,4106090006.0,QUEENS,1056451.0,201154.0,PHONE,Unspecified,QUEENS,,,,,,,,40.718503364127514,-73.73953788430424,POINT (-73.739537884304 40.718503364128)
60035059,2024-01-15T12:00:54.000,2024-01-15T12:42:25.000,NYPD,New York City Police Department,Panhandling,,,Residential Building/House,10451.0,507 EAST  161 STREET,EAST  161 STREET,BROOK AVENUE,3 AVENUE,BROOK AVENUE,3 AVENUE,ADDRESS,BRONX,EAST  161 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2024-01-15T12:42:29.000,03 BRONX,17.0,Precinct 42,2023660037.0,BRONX,1009238.0,239122.0,ONLINE,Unspecified,BRONX,,,,,,,,40.8229748923313,-73.90971542132408,POINT (-73.909715421324 40.822974892331)
60028792,2024-01-15T12:00:59.000,2024-01-17T11:48:05.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Not Cleaned by Property Owner,Sidewalk,11214.0,2231 86 STREET,86 STREET,BAY   31 STREET,BAY   32 STREET,BAY   31 STREET,BAY   32 STREET,ADDRESS,BROOKLYN,86 STREET,,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,2024-01-17T11:48:08.000,11 BROOKLYN,43.0,Precinct 62,3063480065.0,BROOKLYN,986230.0,158374.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.601376113687095,-73.99286977294202,POINT (-73.992869772942 40.601376113687)
60031108,2024-01-15T12:01:00.000,2024-01-31T11:19:54.000,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,4 + Residential Units/Commercial,Sidewalk,11225.0,619 FLATBUSH AVENUE,FLATBUSH AVENUE,CHESTER COURT,FENIMORE STREET,CHESTER COURT,FENIMORE STREET,ADDRESS,BROOKLYN,FLATBUSH AVENUE,,Closed,,"The Department of Transportation will inspect the complaint location and notify the property owner within 180 days if a defective sidewalk condition exists. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code.",2024-01-31T11:19:58.000,09 BROOKLYN,40.0,Precinct 71,3050370001.0,BROOKLYN,995226.0,179088.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.6582250890316,-73.96044036992181,POINT (-73.960440369922 40.658225089032)
60034659,2024-01-15T12:01:02.000,2024-01-17T10:10:49.000,DOT,Department of Transportation,Sidewalk Condition,Sidewalk Grating - Missing,,Sidewalk,11207.0,399 STANLEY AVENUE,STANLEY AVENUE,LOUISIANA AVENUE,MALTA STREET,LOUISIANA AVENUE,MALTA STREET,ADDRESS,BROOKLYN,STANLEY AVENUE,,Closed,,"The Department of Transportation inspected the condition and issued a Corrective Action Repair (CAR) to the contractor or utility company. The responsible party has a maximum of 30 days to correct the condition. If the condition still exists, a summons will be issued. In some cases, the Department of Transportation will make the repairs and charge the responsible party for the costs.",2024-01-17T10:10:52.000,05 BROOKLYN,42.0,Precinct 75,3043420030.0,BROOKLYN,1013879.0,178058.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.65535519849796,-73.8932159158751,POINT (-73.893215915875 40.655355198498)
60028716,2024-01-15T12:01:08.000,2024-03-20T09:33:40.000,EDC,Economic Development Corporation,Noise - Helicopter,Other,Flying Too Low,Above Address,10023.0,118 WEST   74 STREET,WEST   74 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,COLUMBUS AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,WEST   74 STREET,,Closed,,"The New York City Economic Development Corporation determined that this issue is not within its jurisdiction because the helicopter did not belong to a tour company departing from a NYC heliport.Â  Instead, it was most likely a law enforcement or news gathering helicopter not subject to the routing protocols established for tour helicopters. It may also have been a helicopter that departed as a charter or tour from another City but flew over NYC airspace. Helicopter tours originating from outside NYC are not subject to the same City regulations as tours departing from heliports managed by NYCEDC. Any City regulation of these flights is pre-empted by federal law and subject only to the jurisdiction of the Federal Aviation Administration. To file a complaint with the FAA, you can contact the New York Flight Standards District Office at the following web address:Â https://www.faa.gov/about/office_org/field_offices/fsdo/",2024-03-20T09:33:43.000,07 MANHATTAN,6.0,Precinct 20,1011450040.0,MANHATTAN,990197.0,223093.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.77901301615559,-73.97852698021678,POINT (-73.978526980217 40.779013016156)
60028633,2024-01-15T12:01:10.000,2024-01-19T13:22:35.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,,Street,10314.0,14 LEVIT AVENUE,LEVIT AVENUE,WATCHOGUE ROAD,HOME PLACE,WATCHOGUE ROAD,HOME PLACE,ADDRESS,STATEN ISLAND,LEVIT AVENUE,,Closed,,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2024-01-19T13:22:42.000,01 STATEN ISLAND,50.0,Precinct 121,5014850057.0,STATEN ISLAND,942971.0,164338.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.61765013139153,-74.14868714237271,POINT (-74.148687142373 40.617650131392)
60032240,2024-01-15T12:01:22.000,2024-01-17T17:16:36.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,,Other (Explain Below),11374.0,64-08 FLEET STREET,FLEET STREET,66 AVENUE,GROTON STREET,66 AVENUE,GROTON STREET,ADDRESS,REGO PARK,FLEET STREET,,Closed,,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2024-01-15T12:01:22.000,06 QUEENS,29.0,Precinct 112,4031500077.0,QUEENS,1023350.0,201459.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.71954873614611,-73.85894630469151,POINT (-73.858946304692 40.719548736146)
60032607,2024-01-15T12:01:33.000,2024-01-15T13:02:49.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,,Street/Sidewalk,10462.0,1871 WALLACE AVENUE,WALLACE AVENUE,MORRIS PARK AVENUE,RHINELANDER AVENUE,MORRIS PARK AVENUE,RHINELANDER AVENUE,ADDRESS,BRONX,WALLACE AVENUE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,2024-01-15T13:02:51.000,11 BRONX,13.0,Precinct 49,2040520041.0,BRONX,1021851.0,248083.0,MOBILE,Unspecified,BRONX,Car,,,,,,,40.847525532175275,-73.86409299879139,POINT (-73.864092998791 40.847525532175)
60032213,2024-01-15T12:01:35.000,2024-01-18T12:05:24.000,DOT,Department of Transportation,Highway Condition,Cave-in,,Highway,,,,,,,,,,,,Closed,,The Department of Transportation has completed the request or corrected the condition.,2024-01-18T12:05:29.000,Unspecified QUEENS,,Unspecified,,QUEENS,,,PHONE,Unspecified,QUEENS,,,,Van Wyck Expwy,North/Bronx Bound,Ramp,69th Rd-Jewel Ave Harry Van Ardsdale Jr Ave (Exit 11),,,
60029932,2024-01-15T12:01:39.000,2024-03-20T09:33:41.000,EDC,Economic Development Corporation,Noise - Helicopter,Other,Flying Too Low,Above Address,11414.0,88-12 151 AVENUE,151 AVENUE,88 STREET,89 STREET,88 STREET,89 STREET,ADDRESS,HOWARD BEACH,151 AVENUE,,Closed,,"The New York City Economic Development Corporation determined that this issue is not within its jurisdiction because the helicopter did not belong to a tour company departing from a NYC heliport.Â  Instead, it was most likely a law enforcement or news gathering helicopter not subject to the routing protocols established for tour helicopters. It may also have been a helicopter that departed as a charter or tour from another City but flew over NYC airspace. Helicopter tours originating from outside NYC are not subject to the same City regulations as tours departing from heliports managed by NYCEDC. Any City regulation of these flights is pre-empted by federal law and subject only to the jurisdiction of the Federal Aviation Administration. To file a complaint with the FAA, you can contact the New York Flight Standards District Office at the following web address:Â https://www.faa.gov/about/office_org/field_offices/fsdo/",2024-03-20T09:33:46.000,10 QUEENS,32.0,Precinct 106,4114340007.0,QUEENS,1026729.0,182858.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.6684777987759,-73.84687384879807,POINT (-73.846873848798 40.668477798776)
60032239,2024-01-15T12:01:48.000,2024-01-15T12:01:48.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,,3+ Family Apt. Building,10312.0,17 ASHTON DRIVE,ASHTON DRIVE,MIMOSA LANE,DOGWOOD DRIVE,MIMOSA LANE,DOGWOOD DRIVE,ADDRESS,STATEN ISLAND,ASHTON DRIVE,,Closed,,"The Department of Health and Mental Hygiene tried to inspect the property you reported but could not access the site. If you have information that will help the inspector access the site, please go online to nyc.gov/311 or call 311 and refile your complaint with contact information.",2024-01-15T12:01:48.000,03 STATEN ISLAND,51.0,Precinct 123,5060220337.0,STATEN ISLAND,928753.0,140172.0,MOBILE,Unspecified,STATEN ISLAND,,,,,,,,40.55124178579743,-74.19970184209592,POINT (-74.199701842096 40.551241785797)
60028621,2024-01-15T12:01:50.000,2024-01-23T14:02:39.000,TLC,Taxi and Limousine Commission,Lost Property,Electronics/Phones,Camera,Taxi,10012.0,281 LAFAYETTE STREET,LAFAYETTE STREET,PRINCE STREET,JERSEY STREET,PRINCE STREET,JERSEY STREET,ADDRESS,NEW YORK,LAFAYETTE STREET,,Closed,,See notes for information.,2024-01-23T14:02:41.000,02 MANHATTAN,1.0,Precinct 5,1005100033.0,MANHATTAN,985305.0,203054.0,ONLINE,Unspecified,MANHATTAN,,,"281 LAFAYETTE STREET, MANHATTAN (NEW YORK), NY, 10012",,,,,40.72401296921459,-73.99619382218174,POINT (-73.996193822182 40.724012969215)
60027417,2024-01-15T12:01:59.000,2024-01-15T12:46:47.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,,Street/Sidewalk,11204.0,1622 74 STREET,74 STREET,NEW UTRECHT AVENUE,17 AVENUE,NEW UTRECHT AVENUE,17 AVENUE,ADDRESS,BROOKLYN,74 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,2024-01-15T12:46:51.000,11 BROOKLYN,38.0,Precinct 62,3062140034.0,BROOKLYN,984421.0,163853.0,MOBILE,Unspecified,BROOKLYN,Car,,,,,,,40.616415064719725,-73.99938406892835,POINT (-73.999384068928 40.61641506472)
60030116,2024-01-15T12:02:00.000,2024-01-17T13:45:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Leaking (WC1),WC1,,10461.0,3060 MIDDLETOWN ROAD,MIDDLETOWN ROAD,JARVIS AVE,WATERSTONE DR,,,ADDRESS,BRONX,,,Closed,,The Department of Environmental Protection investigated this complaint and shut the running hydrant.,2024-01-17T13:45:00.000,10 BRONX,13.0,Precinct 45,2054040002.0,BRONX,1031751.0,246993.0,MOBILE,Unspecified,BRONX,,,,,,,,40.844486100209544,-73.82831772983461,POINT (-73.828317729835 40.84448610021)
60035037,2024-01-15T12:02:00.000,2024-01-15T12:50:00.000,DOT,Department of Transportation,Traffic Signal Condition,Veh Signal Head,Turned,,11208.0,,,,,ATLANTIC AVENUE,EUCLID AVENUE,INTERSECTION,BROOKLYN,,,Closed,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2024-01-15T12:50:00.000,05 BROOKLYN,37.0,Precinct 75,,BROOKLYN,1019312.0,187443.0,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.681095059131174,-73.87358638270489,POINT (-73.873586382705 40.681095059131)
60028899,2024-01-15T12:02:00.000,2024-01-16T07:49:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),NM1,,11201.0,99 FLEET PLACE,FLEET PLACE,FAIR ST,WILLOUGHBY ST,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2024-01-16T07:49:00.000,02 BROOKLYN,35.0,Precinct 88,,BROOKLYN,989309.0,191657.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.69272951866776,-73.98175694864635,POINT (-73.981756948646 40.692729518668)
60034749,2024-01-15T12:02:21.000,2024-01-17T14:07:29.000,DSNY,Department of Sanitation,Dead Animal,Cat,Street or Sidewalk,Street,11385.0,160 WOODWARD AVENUE,WOODWARD AVENUE,FLUSHING AVENUE,TROUTMAN STREET,FLUSHING AVENUE,TROUTMAN STREET,ADDRESS,RIDGEWOOD,WOODWARD AVENUE,,Closed,,The Department of Sanitation cleaned the location.,2024-01-16T17:39:17.000,05 QUEENS,34.0,Precinct 104,4033940040.0,QUEENS,1006951.0,198759.0,PHONE,Unspecified,QUEENS,,,,,,,,40.7121951658973,-73.91811494216124,POINT (-73.918114942161 40.712195165897)
60027980,2024-01-15T12:02:33.000,2024-01-15T13:31:50.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,,Residential Building/House,10463.0,160 WEST  231 STREET,WEST  231 STREET,BAILEY AVENUE,ALBANY CRESCENT,BAILEY AVENUE,ALBANY CRESCENT,ADDRESS,BRONX,WEST  231 STREET,,Closed,,The Police Department reviewed your complaint and provided additional information below.,2024-01-15T13:31:53.000,08 BRONX,14.0,Precinct 50,2032660109.0,BRONX,1011048.0,259269.0,ONLINE,Unspecified,BRONX,,,,,,,,40.878267098649296,-73.90309515581207,POINT (-73.903095155812 40.878267098649)
60035824,2024-01-15T12:02:33.000,2024-03-20T09:33:42.000,EDC,Economic Development Corporation,Noise - Helicopter,Other,Flying Too Low,Above Address,10023.0,48 WEST   73 STREET,WEST   73 STREET,CENTRAL PARK WEST,COLUMBUS AVENUE,CENTRAL PARK WEST,COLUMBUS AVENUE,ADDRESS,NEW YORK,WEST   73 STREET,,Closed,,"The New York City Economic Development Corporation determined that this issue is not within its jurisdiction because the helicopter did not belong to a tour company departing from a NYC heliport.Â  Instead, it was most likely a law enforcement or news gathering helicopter not subject to the routing protocols established for tour helicopters. It may also have been a helicopter that departed as a charter or tour from another City but flew over NYC airspace. Helicopter tours originating from outside NYC are not subject to the same City regulations as tours departing from heliports managed by NYCEDC. Any City regulation of these flights is pre-empted by federal law and subject only to the jurisdiction of the Federal Aviation Administration. To file a complaint with the FAA, you can contact the New York Flight Standards District Office at the following web address:Â https://www.faa.gov/about/office_org/field_offices/fsdo/",2024-03-20T09:33:48.000,07 MANHATTAN,6.0,Precinct 20,1011250062.0,MANHATTAN,990492.0,222628.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.777736510472266,-73.97746224647709,POINT (-73.977462246477 40.777736510472)
60029034,2024-01-15T12:02:37.000,2024-01-15T12:53:43.000,NYPD,New York City Police Department,Illegal Parking,Overnight Commercial Storage,,Street/Sidewalk,10469.0,LACONIA AVENUE,LACONIA AVENUE,LACONIA AVENUE,PELHAM PARKWAY NORTH,LACONIA AVENUE,PELHAM PARKWAY NORTH,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,2024-01-15T12:53:47.000,11 BRONX,13.0,Precinct 49,,BRONX,1024085.0,251962.0,PHONE,Unspecified,BRONX,,,,,,,,40.85816242392339,-73.85599527887037,POINT (-73.85599527887 40.858162423923)
60035949,2024-01-15T12:03:05.000,2024-01-15T14:01:34.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,In Prohibited Area,Street,10007.0,195 BROADWAY,BROADWAY,DEY STREET,FULTON STREET,DEY STREET,FULTON STREET,ADDRESS,NEW YORK,BROADWAY,,Closed,,,2024-01-15T14:01:37.000,01 MANHATTAN,1.0,Precinct 1,1000800001.0,MANHATTAN,981650.0,198144.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.71053587794686,-74.00937825734793,POINT (-74.009378257348 40.710535877947)
60030144,2024-01-15T12:03:10.000,2024-01-15T12:47:19.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,,Street/Sidewalk,11204.0,1736 BAY RIDGE PARKWAY,BAY RIDGE PARKWAY,17 AVENUE,18 AVENUE,17 AVENUE,18 AVENUE,ADDRESS,BROOKLYN,BAY RIDGE PARKWAY,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,2024-01-15T12:47:25.000,11 BROOKLYN,43.0,Precinct 62,3062260020.0,BROOKLYN,984980.0,163051.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.61421371218304,-73.99737067336308,POINT (-73.997370673363 40.614213712183)
60029810,2024-01-15T12:03:14.000,2024-01-15T12:47:03.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,,Street/Sidewalk,11204.0,1949 63 STREET,63 STREET,19 AVENUE,20 AVENUE,19 AVENUE,20 AVENUE,ADDRESS,BROOKLYN,63 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,2024-01-15T12:47:06.000,11 BROOKLYN,43.0,Precinct 62,3055340059.0,BROOKLYN,988203.0,164564.0,ONLINE,Unspecified,BROOKLYN,Car,,,,,,,40.61836573204704,-73.98576113047079,POINT (-73.985761130471 40.618365732047)
60027618,2024-01-15T12:03:29.000,2024-01-15T13:18:21.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,,Street/Sidewalk,10465.0,1436 STADIUM AVENUE,STADIUM AVENUE,RANDOLPH PLACE,SPENCER DRIVE,RANDOLPH PLACE,SPENCER DRIVE,ADDRESS,BRONX,STADIUM AVENUE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,2024-01-15T13:18:25.000,10 BRONX,13.0,Precinct 45,2054090728.0,BRONX,1033961.0,246104.0,ONLINE,Unspecified,BRONX,,,,,,,,40.84203389558542,-73.82033676649077,POINT (-73.820336766491 40.842033895585)
